7,46,39
5,64,36
48,149,24
49,198,35
41,208,33
46,290,49
33,302,46
47,384,43
38,420,13
9,486,1
55,42,14
66,98,21
72,120,15
90,160,35
73,233,41
88,264,41
83,309,23
75,398,30
80,412,43
63,476,41
128,7,24
113,93,27
141,113,48
118,160,27
131,224,30
142,280,37
146,315,43
138,370,37
104,403,11
139,497,3
151,17,25
190,66,36
159,131,28
183,185,43
173,205,5
196,258,16
177,350,22
173,356,49
151,439,45
194,455,32
222,46,25
214,58,24
244,129,11
208,193,39
218,226,32
204,262,23
210,312,32
203,396,49
225,425,7
246,469,23
263,21,22
257,98,49
279,103,27
268,192,1
253,209,40
287,283,33
278,315,43
260,385,4
269,432,44
255,497,44
323,16,35
326,91,44
333,119,45
327,168,49
344,228,12
330,261,29
324,312,46
310,362,25
312,422,29
347,472,25
372,6,28
371,80,28
381,136,26
356,165,29
372,226,22
364,291,20
397,337,35
379,362,34
399,428,36
362,475,12
419,50,21
445,96,44
405,114,30
434,157,14
406,233,35
439,286,48
445,317,14
410,352,43
426,424,48
431,481,46
460,12,47
452,75,25
499,136,35
474,153,41
453,204,36
455,291,16
487,308,40
476,399,40
491,423,9
492,455,24
